day,date,well_id,css_cycle_no,css_stage,days_since_steam_injection,steam_volume_tonnes,injection_pressure_psi,steam_quality,soak_time_days,reservoir_temperature_c,reservoir_pressure_psi,viscosity_cp,oil_bpd,water_bpd,gas_mscfd,sor,energy_kwh,spm,vfd_frequency_hz,motor_current_a,estimated_fillage_pct,rod_load_kn,rod_floating_risk_score,rod_floating_risk_label
151,2025-06-01,BGW-01,3,production,37,0.0,,,,45.5,1807.6,7804.4,5.0,6.4,0.0,0.115,83.3,8.84,42.37,46.01,27.9,78.46,65.6,High
152,2025-06-02,BGW-01,3,production,38,0.0,,,,44.62,1794.5,8152.0,5.0,0.0,3.6,0.115,94.4,9.71,39.39,44.82,22.3,81.04,70.5,High
153,2025-06-03,BGW-01,3,production,39,0.0,,,,43.26,1810.8,8400.0,5.0,8.4,0.2,0.115,90.1,9.31,41.75,43.43,22.4,83.28,68.7,High
154,2025-06-04,BGW-01,3,production,40,0.0,,,,43.0,1817.1,8400.0,5.0,0.9,0.0,0.115,86.4,8.6,43.57,45.05,24.2,85.2,66.6,High
155,2025-06-05,BGW-01,3,production,41,0.0,,,,43.25,1807.6,8400.0,5.0,1.1,2.3,0.114,89.2,8.97,41.95,43.89,25.5,79.85,66.8,High
156,2025-06-06,BGW-01,4,injection,0,176.2,1334.4,0.756,,61.88,1740.1,3456.9,0.0,0.0,5.9,0.13,81.2,8.61,43.01,31.52,70.5,54.05,23.0,Low
157,2025-06-07,BGW-01,4,injection,1,164.5,1350.5,0.717,,82.77,1658.3,1223.6,0.0,0.0,4.4,0.145,88.5,9.51,45.4,29.45,85.4,45.38,9.2,Low
158,2025-06-08,BGW-01,4,soak,2,0.0,,,6.0,82.57,1631.5,1236.1,184.3,96.1,73.1,0.142,85.0,9.25,40.62,28.84,96.8,47.91,5.3,Low
159,2025-06-09,BGW-01,4,soak,3,0.0,,,6.0,84.23,1646.2,1137.9,197.9,107.5,73.8,0.14,80.4,8.66,44.19,29.37,91.5,42.64,6.7,Low
160,2025-06-10,BGW-01,4,soak,4,0.0,,,6.0,85.08,1644.2,1090.9,199.7,110.9,73.5,0.138,84.5,9.3,39.51,29.53,89.4,46.8,7.3,Low
161,2025-06-11,BGW-01,4,soak,5,0.0,,,6.0,85.12,1632.9,1088.7,192.1,103.0,74.6,0.135,81.4,8.99,42.66,28.7,88.5,47.58,7.6,Low
162,2025-06-12,BGW-01,4,soak,6,0.0,,,6.0,85.81,1607.5,1052.5,194.7,105.0,81.7,0.133,81.4,8.41,42.41,29.35,89.7,46.37,7.1,Low
163,2025-06-13,BGW-01,4,production,7,0.0,,,,82.48,1661.6,1241.5,191.8,102.5,68.3,0.131,91.9,9.37,42.97,30.2,85.7,49.5,9.2,Low
164,2025-06-14,BGW-01,4,production,8,0.0,,,,78.39,1649.7,1521.6,178.9,98.6,71.8,0.129,89.6,9.12,42.87,30.01,86.7,47.98,9.9,Low
165,2025-06-15,BGW-01,4,production,9,0.0,,,,74.67,1658.9,1830.4,167.1,90.0,70.4,0.128,83.1,8.61,38.94,28.8,84.3,48.51,11.9,Low
166,2025-06-16,BGW-01,4,production,10,0.0,,,,71.46,1701.3,2146.9,161.2,85.9,67.2,0.126,85.1,8.79,41.75,31.02,85.1,47.29,12.8,Low
167,2025-06-17,BGW-01,4,production,11,0.0,,,,68.29,1709.2,2513.2,155.8,87.0,63.5,0.125,84.0,8.94,43.02,31.29,78.3,52.76,16.6,Low
168,2025-06-18,BGW-01,4,production,12,0.0,,,,65.71,1728.1,2858.0,132.2,68.0,45.6,0.123,89.8,9.54,44.14,32.32,72.1,54.74,20.1,Low
169,2025-06-19,BGW-01,4,production,13,0.0,,,,63.8,1727.8,3142.6,119.4,65.1,43.5,0.122,77.1,8.53,42.81,30.87,78.1,50.35,19.1,Low
170,2025-06-20,BGW-01,4,production,14,0.0,,,,61.85,1725.9,3462.3,117.0,58.3,48.6,0.121,84.3,8.68,41.17,32.94,76.0,53.18,21.1,Low
171,2025-06-21,BGW-01,4,production,15,0.0,,,,59.55,1748.3,3881.6,108.0,58.6,41.3,0.12,77.2,8.77,42.76,29.25,71.5,56.89,24.2,Low
172,2025-06-22,BGW-01,4,production,16,0.0,,,,57.79,1732.4,4235.2,102.9,54.4,35.3,0.119,88.0,9.31,39.12,35.9,53.9,58.77,40.5,Medium
173,2025-06-23,BGW-01,4,production,17,0.0,,,,55.97,1750.1,4638.1,90.8,51.1,29.5,0.119,82.3,8.74,43.94,39.58,47.1,64.56,44.1,Medium
174,2025-06-24,BGW-01,4,production,18,0.0,,,,54.52,1743.5,4984.7,72.9,35.4,29.5,0.118,79.0,8.35,41.43,37.43,45.6,64.2,44.0,Medium
175,2025-06-25,BGW-01,4,production,19,0.0,,,,54.81,1750.9,4912.2,78.3,42.9,24.2,0.117,85.8,9.06,40.46,36.06,50.0,63.71,43.8,Medium
176,2025-06-26,BGW-01,4,production,20,0.0,,,,53.98,1753.1,5120.4,68.9,36.3,26.6,0.117,87.6,9.15,42.36,38.09,45.0,68.17,47.3,Medium
177,2025-06-27,BGW-01,4,production,21,0.0,,,,52.94,1779.8,5391.6,65.3,40.2,20.7,0.116,80.5,8.43,42.33,38.28,52.4,64.98,43.7,Medium
178,2025-06-28,BGW-01,4,production,22,0.0,,,,52.2,1774.2,5592.7,57.9,28.8,22.0,0.116,85.5,8.77,40.79,40.52,40.2,70.61,50.6,Medium
179,2025-06-29,BGW-01,4,production,23,0.0,,,,52.1,1770.2,5622.3,58.4,32.6,24.6,0.115,85.9,8.84,45.32,38.93,42.3,69.72,49.6,Medium
